 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001     47       0  rtu0470              644.232       6.690       6.690      34.335     143.913     178.248     184.786     608.675      30.768     499.756      78.152      34.336      57.195     118.867     377.136     348.892      33.327       0.000       0.000       0.010     983.016       0.000       0.000       0.000       0.000       0.000      34.336       0.000       0.000     143.913       0.000       0.000     456.994       6.003       6.001     128.958       5.595     656.633       1.986       0.000       0.000       0.000
    365    12    31  2001     48       0  rtu0480              534.503       0.000       0.000    2837.324       4.041    2841.365     443.338    1086.656       4.741     199.749     882.166    2837.510      95.220      79.300     580.721     536.078      91.202       0.000       0.000       0.000    1145.862       0.000       0.000       0.000       0.000       0.000    2837.510       0.000       0.000       4.041       0.000       0.000    4087.602    2458.260    2458.074     250.367     154.626     119.951     133.979       0.000       0.000       0.000
    365    12    31  2001     49       0  rtu0490              534.513       0.000       0.000     381.186       4.113     385.299     181.045     483.811       3.385      99.114     381.313     381.188      86.734      86.428     289.091     299.030      20.407       0.000       0.000       0.000    1146.001       0.000       0.000       0.000       0.000       0.000     381.188       0.000       0.000       4.113       0.000       0.000     616.878     142.555     142.552     101.193      14.287      37.314       9.558       0.000       0.000       0.000
    365    12    31  2001     50       0  rtu0500              534.513       0.000       0.000    1226.853     146.887    1373.740    1112.188     762.291      38.375     668.421      55.494    1226.853      56.427      65.262     170.925     342.663      33.196       0.000       0.000       0.000    1146.431       0.000       0.000       0.000       0.000       0.000    1226.853       0.000       0.000     146.887       0.000       0.000    2766.479    1183.535    1183.535      52.759     453.931     446.938     440.778       0.000       0.000       0.000
    365    12    31  2001     51       0  rtu0510              534.508       0.000       0.000     644.912      65.028     709.940     663.694     532.842      34.906     442.691      55.244     644.912      45.627      58.716     108.562     220.905      19.829       0.000       0.000       0.000    1146.664       0.000       0.000       0.000       0.000       0.000     644.912       0.000       0.000      65.028       0.000       0.000    1396.861     631.476     631.476      24.889     120.824     155.837     119.190       0.000       0.000       0.000
    365    12    31  2001     52       0  rtu0520              540.079     105.377     104.829     269.432      31.808     301.240     133.475     516.488      17.819     247.279     251.390     269.432      69.021      99.686     264.276     290.609      30.527       0.000       0.000      14.784     857.891       0.000       0.000       0.000       0.000       0.000     269.432       0.000       0.000      31.808       0.000       0.000     493.411     156.568     156.568      82.182       6.436     142.965       1.085       0.000       0.000       0.000
    365    12    31  2001     53       0  rtu0530              399.217       0.000       0.000     676.188      10.268     686.456     259.181     414.270      10.495     101.117     302.658     676.421      88.221      80.559     412.230     376.169      43.577       0.000       0.000       0.000    1140.094       0.000       0.000       0.000       0.000       0.000     676.421       0.000       0.000      10.268       0.000       0.000    1126.619     468.684     468.451     165.609     331.610      59.656     277.421       0.000       0.000       0.000
    365    12    31  2001     54       0  rtu0540              540.478     103.623     103.163      17.894      16.750      34.644     117.865     368.840      28.991     287.492      52.357      17.894      45.722      73.509     113.099     146.639      15.593       0.000       0.000      14.402     858.133       0.000       0.000       0.000       0.000       0.000      17.894       0.000       0.000      16.750       0.000       0.000       0.642       0.019       0.019      19.768       0.361      27.874       0.000       0.000       0.000       0.000
    365    12    31  2001     55       0  rtu0550              548.185     106.915     106.405     165.011      26.001     191.013     133.255     404.197      23.342     250.272     130.583     165.017      64.754      89.091     219.372     266.371      22.183       0.000       0.000      15.101     854.572       0.000       0.000       0.000       0.000       0.000     165.017       0.000       0.000      26.001       0.000       0.000     245.392      58.100      58.094      65.051      23.811     111.432      15.536       0.000       0.000       0.000
    365    12    31  2001     56       0  rtu0560              534.513       0.000       0.000      43.958      15.914      59.873     420.941     446.781      26.587     266.668     153.526      43.958      53.202      59.789     165.095     168.960      12.577       0.000       0.000       0.000    1146.406       0.000       0.000       0.000       0.000       0.000      43.958       0.000       0.000      15.914       0.000       0.000     445.677       7.988       7.988      52.581       2.635      21.931       1.170       0.000       0.000       0.000
