 Tordera                  
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2000     471    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     472    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     473    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     474    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     475    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     476    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     477    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     478    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     479    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     480    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     481    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     482    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     483    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     484    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     485    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     486    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     493    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     494    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     495    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     496    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     497    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     498    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     499    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     500    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     501    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     502    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     503    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     504    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     505    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     506    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     507    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     508    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     509    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     510    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     511    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     512    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     513    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     514    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     515    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     516    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     517    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     518    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     519    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     520    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     521    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     522    frsd                        0.000       0.000       0.000       0.000
