 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2017      37     370  aqu370                    0.000          4.057        297.078         14.212          0.711         22.393          1.434          0.000          0.500          0.000         12.353         12.187          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      38     380  aqu380                    0.000          3.369        331.500         22.488          1.124         22.393          1.046          0.000          0.500          0.000          8.877          8.947          0.000          0.005          0.000          0.000          0.000
   365    12    31  2017      39     390  aqu390                    0.000          4.057        297.080         14.217          0.711         22.393          1.435          0.000          0.500          0.000         12.361         12.194          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      40     400  aqu400                    0.000          3.347        332.573         22.937          1.147         22.393          1.073          0.000          0.500          0.000          9.077          9.170          0.000          0.005          0.000          0.000          0.000
   365    12    31  2017      41     410  aqu410                    0.000          3.410        329.456         21.353          1.068         22.393          0.906          0.000          0.500          0.000          7.756          7.761          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      42     420  aqu420                    0.000          4.057        297.074         14.206          0.710         22.393          1.433          0.000          0.500          0.000         12.342         12.176          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      43     430  aqu430                    0.000          4.057        297.072         14.203          0.710         22.393          1.432          0.000          0.500          0.000         12.336         12.170          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      44     440  aqu440                    0.000          3.443        327.783         20.631          1.032         22.393          0.844          0.000          0.500          0.000          7.225          7.228          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      45     450  aqu450                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.202          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      46     460  aqu460                    0.000          4.030        298.450          5.285          0.264         22.393          0.387          0.000          0.500          0.000          3.306          3.313          0.000          0.001          0.000          0.000          0.000
   365    12    31  2017      47     470  aqu470                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.202          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      48     480  aqu480                    0.000          4.076        296.129          4.409          0.220         22.393          0.301          0.000          0.500          0.000          2.572          2.576          0.000          0.000          0.000          0.000          0.000
   365    12    31  2017      49     490  aqu490                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.201          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      50     500  aqu500                    0.000          4.069        296.498          4.484          0.224         22.393          0.316          0.000          0.500          0.000          2.707          2.711          0.000          0.000          0.000          0.000          0.000
   365    12    31  2017      51     510  aqu510                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.202          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      52     520  aqu520                    0.000          4.030        298.443          5.282          0.264         22.393          0.386          0.000          0.500          0.000          3.304          3.311          0.000          0.001          0.000          0.000          0.000
   365    12    31  2017      53     530  aqu530                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.202          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      54     540  aqu540                    0.000          4.057        297.072         14.203          0.710         22.393          1.432          0.000          0.500          0.000         12.336         12.170          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      55     550  aqu550                    0.000          4.029        298.470          5.272          0.264         22.393          0.385          0.000          0.500          0.000          3.291          3.298          0.000          0.001          0.000          0.000          0.000
   365    12    31  2017      56     560  aqu560                    0.000          4.057        297.072         14.204          0.710         22.393          1.432          0.000          0.500          0.000         12.337         12.171          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      57     570  aqu570                    0.000          4.057        297.078         14.212          0.711         22.393          1.434          0.000          0.500          0.000         12.352         12.186          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      58     580  aqu580                    0.000          3.461        326.897         20.466          1.023         22.393          0.820          0.000          0.500          0.000          7.022          7.023          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      59     590  aqu590                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.367         12.201          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      60     600  aqu600                    0.000          4.064        296.721          4.569          0.228         22.393          0.325          0.000          0.500          0.000          2.776          2.781          0.000          0.000          0.000          0.000          0.000
   365    12    31  2017      61     610  aqu610                    0.000          4.057        297.079         14.214          0.711         22.393          1.435          0.000          0.500          0.000         12.356         12.189          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      62     620  aqu620                    0.000          4.075        296.190          4.428          0.221         22.393          0.304          0.000          0.500          0.000          2.599          2.603          0.000          0.000          0.000          0.000          0.000
   365    12    31  2017      63     630  aqu630                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.367         12.200          0.000          0.004          0.000          0.000          0.000
