 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                         m^3/s   
   304    10    31  2019         1     1  april24               0.1840E+02     0.0000E+00     0.1772E+02     0.3305E+02     0.3703E+00     0.3735E+00     0.1851E+00     0.0000E+00     0.1788E+00     0.1866E+00     0.1796E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.5145E-02     0.8621E-03     0.0000E+00     0.5454E+02     0.0000E+00     0.5268E+02     0.7958E+02
   334    11    30  2019         1     1  april24               0.1485E+01     0.0000E+00     0.1964E+01     0.1687E+01     0.3930E-02     0.1981E-02     0.1965E-02     0.0000E+00     0.1949E-02     0.0000E+00     0.1594E-04     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.5893E-05     0.0000E+00     0.1018E+01     0.0000E+00     0.1612E+01     0.3543E+01
   365    12    31  2019         1     1  april24               0.1367E+01     0.0000E+00     0.1227E+01     0.2899E+01     0.1939E-02     0.1111E-02     0.9650E-03     0.0000E+00     0.8590E-03     0.0000E+00     0.1460E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.2705E-03     0.0000E+00     0.6758E+01     0.0000E+00     0.6374E+01     0.3257E-01
    31     1    31  2020         1     1  april24               0.6544E+02     0.0000E+00     0.6303E+02     0.1121E+03     0.2252E+01     0.2842E+01     0.1126E+01     0.0000E+00     0.1085E+01     0.1711E+01     0.5177E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.3013E-01     0.1616E-02     0.0000E+00     0.1633E+03     0.0000E+00     0.1586E+03     0.6460E+02
    60     2    29  2020         1     1  april24               0.4143E+01     0.0000E+00     0.5584E+01     0.4508E+01     0.7823E-01     0.3970E-01     0.3911E-01     0.0000E+00     0.3881E-01     0.0000E+00     0.5859E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.1207E-03     0.0000E+00     0.2522E+01     0.0000E+00     0.3890E+01     0.2245E+02
    91     3    31  2020         1     1  april24               0.1690E+01     0.0000E+00     0.1550E+01     0.3485E+01     0.3848E-02     0.2515E-02     0.1916E-02     0.0000E+00     0.1769E-02     0.4544E-03     0.1448E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1400E-04     0.2219E-03     0.0000E+00     0.7879E+01     0.0000E+00     0.7464E+01     0.1194E+00
   121     4    30  2020         1     1  april24               0.1845E+01     0.0000E+00     0.1664E+01     0.3873E+01     0.5678E-02     0.4378E-02     0.2828E-02     0.0000E+00     0.2642E-02     0.1346E-02     0.2039E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.4146E-04     0.2927E-03     0.0000E+00     0.9138E+01     0.0000E+00     0.8641E+01     0.1899E+00
   152     5    31  2020         1     1  april24               0.1468E+03     0.0000E+00     0.1440E+03     0.2468E+03     0.4467E+01     0.5616E+01     0.2234E+01     0.0000E+00     0.2142E+01     0.3371E+01     0.1215E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.5724E-01     0.5843E-02     0.0000E+00     0.3670E+03     0.0000E+00     0.3614E+03     0.1200E+03
   182     6    30  2020         1     1  april24               0.1950E+03     0.0000E+00     0.1913E+03     0.3254E+03     0.6185E+01     0.9144E+01     0.3092E+01     0.0000E+00     0.2922E+01     0.6035E+01     0.1585E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8950E-01     0.6365E-02     0.0000E+00     0.4780E+03     0.0000E+00     0.4716E+03     0.1199E+03
   213     7    31  2020         1     1  april24               0.2836E+03     0.0000E+00     0.2819E+03     0.4457E+03     0.5454E+01     0.9335E+01     0.2727E+01     0.0000E+00     0.2626E+01     0.6601E+01     0.6925E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6262E-01     0.1972E-02     0.0000E+00     0.5537E+03     0.0000E+00     0.5477E+03     0.1999E+03
   244     8    31  2020         1     1  april24               0.3591E+03     0.0000E+00     0.3595E+03     0.5575E+03     0.6908E+01     0.1329E+02     0.3454E+01     0.0000E+00     0.3299E+01     0.9835E+01     0.1762E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8348E-01     0.1062E-02     0.0000E+00     0.6790E+03     0.0000E+00     0.6799E+03     0.2120E+03
   274     9    30  2020         1     1  april24               0.2037E+03     0.0000E+00     0.2085E+03     0.3151E+03     0.9546E+01     0.1580E+02     0.4773E+01     0.0000E+00     0.4516E+01     0.1102E+02     0.4436E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1286E+00     0.1555E-02     0.0000E+00     0.4070E+03     0.0000E+00     0.4117E+03     0.2984E+03
   305    10    31  2020         1     1  april24               0.8326E+00     0.0000E+00     0.1095E+01     0.9631E+00     0.4740E-01     0.2370E-01     0.2370E-01     0.0000E+00     0.2369E-01     0.0000E+00     0.5386E-05     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.3117E-05     0.0000E+00     0.6026E+00     0.0000E+00     0.9101E+00     0.7697E+02
   335    11    30  2020         1     1  april24               0.2510E+02     0.0000E+00     0.2445E+02     0.4339E+02     0.8904E-01     0.1016E+00     0.4452E-01     0.0000E+00     0.4312E-01     0.5287E-01     0.4238E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1494E-02     0.1717E-02     0.0000E+00     0.6779E+02     0.0000E+00     0.6569E+02     0.3779E+01
   366    12    31  2020         1     1  april24               0.6990E-01     0.0000E+00     0.9447E-01     0.7482E-01     0.3187E-04     0.1612E-04     0.1593E-04     0.0000E+00     0.1587E-04     0.0000E+00     0.1909E-06     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.1031E-06     0.0000E+00     0.4068E-01     0.0000E+00     0.6425E-01     0.2622E-01
    31     1    31  2021         1     1  april24               0.4081E+01     0.0000E+00     0.3824E+01     0.7451E+01     0.1431E-02     0.1639E-02     0.7154E-03     0.0000E+00     0.6079E-03     0.4467E-03     0.4764E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1376E-04     0.6021E-03     0.0000E+00     0.1256E+02     0.0000E+00     0.1186E+02     0.6751E-01
    59     2    28  2021         1     1  april24               0.4274E-05     0.0000E+00     0.2266E-05     0.9728E-05     0.3874E-07     0.9943E-08     0.9943E-08     0.0000E+00     0.9943E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4771E-04     0.0000E+00     0.1259E-04     0.1682E-04
    90     3    31  2021         1     1  april24               0.6353E-05     0.0000E+00     0.4030E-05     0.1378E-04     0.3873E-07     0.1039E-07     0.1039E-07     0.0000E+00     0.1039E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5189E-04     0.0000E+00     0.1468E-04     0.5347E-05
   120     4    30  2021         1     1  april24               0.2765E+01     0.0000E+00     0.2226E+01     0.6363E+01     0.3873E-02     0.3106E-02     0.1935E-02     0.0000E+00     0.1764E-02     0.7427E-03     0.4282E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.2288E-04     0.6063E-03     0.0000E+00     0.1575E+02     0.0000E+00     0.1437E+02     0.4103E-01
   151     5    31  2021         1     1  april24               0.1306E+03     0.0000E+00     0.1282E+03     0.2187E+03     0.3347E+01     0.4413E+01     0.1673E+01     0.0000E+00     0.1599E+01     0.2727E+01     0.1321E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.4300E-01     0.5995E-02     0.0000E+00     0.3187E+03     0.0000E+00     0.3135E+03     0.8723E+02
   181     6    30  2021         1     1  april24               0.1921E+03     0.0000E+00     0.1887E+03     0.3213E+03     0.6378E+01     0.9405E+01     0.3189E+01     0.0000E+00     0.3016E+01     0.6201E+01     0.1551E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.9313E-01     0.5871E-02     0.0000E+00     0.4775E+03     0.0000E+00     0.4716E+03     0.1267E+03
   212     7    31  2021         1     1  april24               0.2771E+03     0.0000E+00     0.2748E+03     0.4368E+03     0.5283E+01     0.8976E+01     0.2641E+01     0.0000E+00     0.2546E+01     0.6327E+01     0.7090E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6050E-01     0.1892E-02     0.0000E+00     0.5439E+03     0.0000E+00     0.5366E+03     0.1960E+03
