real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
131,135.214,199,17.1026,57.0184,90.3709,1,199,163.102,199,179.643,122.835,27.0438,47.0723,0.699101639,-0.291741854,0.706215288,113.3147458,12840.23162,0.840366163
132,179,199,17.6323,20.6913,87.9083,1,199,164.074,199,68.2121,122.711,27.4397,36.4642,0.699104036,-0.317868662,0.706251745,113.3142944,12840.12932,0.840387854
133,160.058,199,5.65376,17.9834,24.6413,1,199,150.011,189.487,144.189,123.89,26.6683,77.8514,0.699061753,-0.067283004,0.705913448,113.3222559,12841.93367,0.840186555
134,32.0117,199,4.90508,11.0581,7.34149,1,199,148.707,187.196,155.759,123.292,29.111,10.4882,0.699100801,-0.192137399,0.706095266,113.3149036,12840.26737,0.840294749
135,177.34,199,8.55203,6.16945,29.4852,1,199,119.185,199,93.8282,122.441,25.6167,53.4063,0.699120076,-0.371242364,0.706344076,113.311274,12839.44483,0.840442785
136,45.461,199,4.54582,11.3479,72.918,1,199,164.613,199,181.541,122.829,23.3767,68.5105,0.699118509,-0.288682419,0.706233945,113.3115691,12839.5117,0.840377263
137,72.8975,199,18.1341,59.1945,28.9796,1,199,143.486,178.152,143.464,123.845,9.83489,16.0062,0.699049729,-0.081056862,0.705910644,113.3245197,12842.44676,0.840184887
138,178.63,199,17.1889,10.4296,76.4438,1,199,162.904,199,52.7928,122.913,13.8124,71.6007,0.699099295,-0.275516607,0.706191925,113.3151872,12840.33164,0.840352262
139,134.154,199,17.4102,1.20979,1.2887,1,199,161.698,76.7485,178.497,123.411,7.86657,14.3402,0.699077751,-0.171649425,0.706042134,113.3192436,12841.25098,0.840263134
140,113.576,199,17.4949,60.8286,14.2826,1,199,163.462,180.599,101.425,122.874,3.16249,44.6784,0.699099785,-0.283824446,0.706202875,113.3150949,12840.31074,0.840358778
141,29.9359,199,16.5564,41.3921,73.3285,1,199,162.562,199,35.3175,122.772,14.4608,33.5415,0.699103694,-0.304651646,0.706234381,113.3143588,12840.1439,0.840377523
142,160.497,199,17.2917,54.0166,10.4227,1,199,163.908,192.185,180.497,122.794,2.98935,37.8242,0.699102304,-0.300478526,0.70622727,113.3146206,12840.20325,0.840373292
143,118.974,199,11.5412,41.9482,84.9657,1,199,146.88,199,159.719,122.697,8.67104,58.2446,0.699111746,-0.318822335,0.706263493,113.3128427,12839.80031,0.840394844
144,190.544,199,18.9413,6.83439,118.546,1,199,152.095,193.424,68.2717,123.557,11.9003,33.6254,0.699068014,-0.141573513,0.705996612,113.321077,12841.6665,0.840236046
